Date and Time,Gage Height (ft),POSIX Stamp
05/30/2013 19:45:37,2.0,1369957537.0
05/31/2013 17:38:06,2.02,1370036286.0
06/02/2013 13:40:05,2.22,1370194805.0
06/02/2013 15:21:33,2.2,1370200893.0
06/03/2013 16:54:21,2.19,1370292861.0
06/04/2013 17:54:28,2.18,1370382868.0
06/08/2013 13:45:43,2.26,1370713543.0
06/09/2013 10:25:45,2.24,1370787945.0
06/09/2013 18:34:16,2.25,1370817256.0
06/15/2013 19:18:45,2.35,1371338325.0
06/18/2013 14:46:45,2.34,1371581205.0
06/18/2013 14:56:30,2.34,1371581790.0
06/20/2013 13:29:28,2.3,1371749368.0
06/20/2013 15:10:06,2.3,1371755406.0
06/21/2013 12:12:34,2.28,1371831154.0
06/22/2013 13:47:53,2.24,1371923273.0
06/22/2013 17:39:36,2.24,1371937176.0
06/23/2013 19:04:01,2.25,1372028641.0
06/25/2013 13:15:58,2.2,1372180558.0
06/26/2013 19:21:31,2.2,1372288891.0
06/27/2013 17:15:43,2.2,1372367743.0
06/29/2013 16:29:09,2.3,1372537749.0
06/30/2013 11:22:04,2.3,1372605724.0
07/02/2013 16:22:38,2.29,1372796558.0
07/07/2013 11:12:09,2.24,1373209929.0
07/07/2013 18:17:21,2.24,1373235441.0
07/10/2013 18:09:19,2.2,1373494159.0
07/13/2013 10:23:39,2.2,1373725419.0
07/13/2013 13:55:48,2.18,1373738148.0
07/13/2013 18:17:46,2.16,1373753866.0
07/14/2013 18:15:27,2.17,1373840127.0
07/16/2013 11:09:42,2.1,1373987382.0
07/18/2013 14:01:04,2.07,1374170464.0
07/19/2013 10:49:16,2.05,1374245356.0
07/19/2013 10:49:56,2.024,1374245396.0
07/23/2013 13:27:13,2.1,1374600433.0
07/23/2013 13:36:12,2.08,1374600972.0
07/25/2013 17:03:12,2.05,1374786192.0
07/25/2013 18:00:33,2.0,1374789633.0
07/27/2013 11:41:57,2.0,1374939717.0
07/28/2013 11:23:12,2.0,1375024992.0
07/28/2013 18:13:58,1.98,1375049638.0
07/31/2013 15:09:53,1.9,1375297793.0
08/03/2013 08:34:56,1.9,1375533296.0
08/11/2013 19:53:00,1.8,1376265180.0
08/12/2013 19:19:07,1.8,1376349547.0
08/13/2013 16:18:51,1.78,1376425131.0
08/14/2013 10:37:14,1.75,1376491034.0
08/15/2013 15:18:02,1.73,1376594282.0
08/20/2013 15:33:20,1.6,1377027200.0
08/20/2013 18:14:06,1.6,1377036846.0
08/24/2013 13:09:05,1.5,1377364145.0
08/24/2013 16:28:46,1.5,1377376126.0
08/26/2013 16:36:15,1.5,1377549375.0
08/30/2013 17:08:59,1.52,1377896939.0
09/01/2013 15:23:59,1.5,1378063439.0
09/02/2013 15:12:49,1.5,1378149169.0
09/02/2013 15:42:18,1.5,1378150938.0
09/04/2013 09:11:42,1.46,1378300302.0
09/05/2013 10:28:25,1.4,1378391305.0
09/05/2013 16:16:57,1.44,1378412217.0
09/05/2013 19:53:57,1.4,1378425237.0
09/06/2013 19:25:59,1.38,1378509959.0
09/07/2013 11:23:07,1.4,1378567387.0
09/07/2013 13:57:51,1.4,1378576671.0
09/08/2013 07:42:06,1.44,1378640526.0
09/09/2013 11:32:27,1.4,1378740747.0
09/11/2013 09:03:02,1.39,1378904582.0
09/14/2013 12:32:23,1.32,1379176343.0
09/14/2013 13:59:27,1.3,1379181567.0
09/15/2013 11:03:49,1.32,1379257429.0
09/15/2013 15:29:00,1.3,1379273340.0
09/15/2013 19:36:46,1.35,1379288206.0
09/15/2013 19:37:17,1.35,1379288237.0
09/16/2013 15:01:44,1.34,1379358104.0
09/20/2013 13:09:23,1.26,1379696963.0
09/22/2013 10:54:07,1.58,1379861647.0
09/24/2013 13:09:29,1.6,1380042569.0
09/25/2013 16:41:00,1.5,1380141660.0
09/26/2013 16:51:43,1.5,1380228703.0
09/27/2013 16:29:19,1.5,1380313759.0
09/27/2013 17:17:33,1.5,1380316653.0
09/28/2013 11:03:47,1.48,1380380627.0
09/28/2013 12:46:04,1.5,1380386764.0
09/28/2013 13:34:21,1.49,1380389661.0
09/28/2013 17:46:17,1.48,1380404777.0
09/30/2013 09:44:13,1.45,1380548653.0
10/03/2013 16:07:12,1.42,1380830832.0
10/04/2013 16:30:13,1.4,1380918613.0
10/05/2013 15:05:07,1.52,1380999907.0
10/05/2013 15:13:48,1.5,1381000428.0
10/06/2013 16:21:45,1.56,1381090905.0
10/09/2013 15:35:52,1.6,1381347352.0
10/14/2013 13:27:03,1.62,1381771623.0
10/14/2013 16:44:10,1.6,1381783450.0
10/16/2013 09:43:36,1.63,1381931016.0
10/17/2013 08:59:22,1.64,1382014762.0
10/17/2013 12:02:45,1.65,1382025765.0
10/19/2013 15:44:41,1.79,1382211881.0
10/21/2013 16:13:34,1.75,1382386414.0
10/21/2013 17:15:40,1.78,1382390140.0
10/22/2013 11:25:42,1.86,1382455542.0
10/27/2013 10:45:35,1.86,1382885135.0
10/27/2013 12:10:37,1.88,1382890237.0
10/27/2013 16:15:14,1.85,1382904914.0
10/28/2013 09:44:12,1.86,1382967852.0
10/29/2013 15:38:42,1.85,1383075522.0
11/01/2013 12:23:12,2.0,1383322992.0
11/04/2013 11:30:59,2.02,1383582659.0
11/16/2013 14:08:55,2.1,1384628935.0
11/16/2013 14:33:23,2.08,1384630403.0
11/16/2013 16:33:40,2.1,1384637620.0
11/20/2013 11:39:21,2.12,1384965561.0
11/27/2013 10:58:20,2.16,1385567900.0
11/29/2013 10:27:57,2.3,1385738877.0
12/13/2013 15:15:21,2.2,1386965721.0
12/29/2013 16:08:10,2.48,1388351290.0
01/11/2014 15:33:49,2.4,1389472429.0